x,y
681,206
653,213
620,220
595,228
576,236
563,245
554,256
549,268
543,283
540,300
538,318
536,339
532,361
532,382
530,407
530,428
530,453
534,486
541,523
550,553
562,583
570,607
583,634
596,657
605,676
615,691
626,704
637,720
648,733
662,746
679,757
696,769
714,780
731,790
750,798
767,807
787,817
808,825
830,835
854,843
878,849
905,855
931,859
962,861
992,860
1019,856
1051,849
1075,843
1094,833
1114,824
1131,810
1144,795
1158,777
1174,757
1192,732
1214,703
1231,671
1249,639
1259,613
1268,588
1272,567
1273,548
1273,530
1269,506
1263,485
1255,463
1247,442
1237,422
1225,400
1216,381
1204,361
1192,341
1180,322
1167,304
1153,289
1140,272
1126,256
1113,243
1096,230
1073,215
1050,203
1024,192
1000,184
976,178
949,172
921,165
900,163
879,161
860,161
839,162
818,164
797,168
776,174
752,182
721,193
690,208
655,223
614,242
577,263
544,283
511,304
491,320
471,342
458,359
448,379
438,398
433,419
429,443
427,466
427,487
430,513
434,540
443,569
455,604
464,633
475,659
487,681
501,701
515,718
532,734
550,748
567,759
587,771
608,781
633,791
664,806
700,821
739,834
782,847
829,858
880,870
931,878
981,886
1032,895
1077,900
1121,903
1154,903
1199,898
1235,894
1259,888
1283,880
1300,868
1318,857
1329,844
1341,824
1346,805
1350,784
1352,760
1352,737
1352,712
1352,686
1352,661
1352,636
1352,607
1348,571
1341,539
1333,510
1324,485
1311,458
1297,431
1279,407
1263,386
1245,368
1225,350
1199,329
1178,312
1154,294
1126,278
1098,262
1075,250
1049,236
1023,225
997,215
972,206
951,201
934,197
920,195
908,193
902,193
897,193
888,195
876,201
854,209
822,222
776,245
716,277
651,312
581,352
511,392
445,435
375,479
305,519
248,557
204,589
173,617
152,643
140,666
132,683
129,699
127,716
128,730
129,745
131,759
133,773
138,786
143,796
147,804
151,810
152,812
153,813
153,813
151,813
147,813
142,815
140,815
136,815
132,815
127,815
118,814
108,813
96,811
84,807
69,800
54,790
37,781
22,772
11,763
3,756
-3,751
-4,749
-3,746
-1,745
-1,744
0,743
0,741
1,739
2,738
2,736
4,732
5,728
6,724
8,722
9,719
10,717
11,716
13,715
15,715
18,715
23,716
27,718
29,719
30,719
31,719
34,720
35,721
35,722
36,723
37,724
39,726
40,727
41,728
42,729
43,730
44,730
47,728
55,722
72,708
98,693
131,673
172,651
224,620
276,583
343,536
410,486
482,435
553,388
620,337
681,299
738,261
784,235
827,209
867,190
898,176
918,168
930,163
936,160
938,159
939,158
940,156
944,152
951,145
957,141
961,137
963,134
964,133
965,132
966,131
967,131
972,130
976,130
983,130
988,130
997,131
1002,131
1011,132
1019,134
1021,134
1025,134
1027,134
1029,134
1032,134
1034,134
1036,134
1038,134
1040,134
1043,134
1045,134
1047,134
1051,133
1053,132
1056,131
1058,131
1064,128
1067,127
1070,126
1072,124
1076,122
1079,121
1083,118
1086,117
1089,114
1091,113
1095,110
1101,109
1103,107
1108,105
1111,105
1114,104
1117,104
1120,104
1121,104
1124,104
1125,104
1126,103
1126,102
1126,101
1126,100
1126,99
1122,100
1117,103
1106,106
1098,111
1088,117
1078,122
1069,127
1059,132
1053,138
1044,145
1034,150
1025,159
1017,165
1006,174
996,181
987,190
977,197
968,204
962,208
956,213
950,217
945,223
941,232
937,242
936,247
933,253
931,260
931,263
931,266
931,270
931,274
931,278
931,280
931,282
931,284
931,285
931,287
931,288
931,289
932,292
933,293
934,294
936,294
938,294
940,294
947,295
957,297
967,297
981,297
995,297
1006,297
1014,297
1021,297
1030,297
1040,297
1047,297
1054,297
1062,297
1069,297
1074,297
1078,297
1080,297
1082,297
1083,297
1084,297
1086,297
1089,297
1094,297
1099,296
1105,295
1108,294
1112,294
1118,292
1123,291
1125,291
1131,290
1134,290
1141,288
1147,287
1152,287
1161,287
1175,283
1194,281
1221,275
1264,265
1312,247
1361,230
1406,211
1442,193
1470,176
1496,163
1514,149
1531,136
1547,124
1562,111
1577,100
1592,86
1604,73
1613,62
1623,53
1632,45
1642,38
1651,31
1657,27
1663,24
1669,19
1673,15
1681,12
1689,7
1699,4
1705,1
1710,-1
1712,-1
1713,-1
1716,-1
1717,0
1719,0
1721,0
1728,1
1736,2
1740,2
1743,2
1746,2
1748,2
1749,2
1750,2
1752,3
1754,4
1757,6
1758,8
1760,9
1761,10
1762,11
1763,12
1764,14
1765,15
1767,17
1768,18
1769,21
1770,25
1771,26
1772,27
1773,28
1774,28
1775,29
1776,30
1777,31
1778,34
1779,35
1780,36
1780,37
1781,40
1781,42
1784,46
1786,49
1787,50
